,FIPST,NCESSCH,LCITY,LZIP,G1OFFERED,G8OFFERED,G12OFFERED,NOGRADES,type_school,SCH_NAME_n_students,G01_n_students,G08_n_students,G12_n_students,TOTAL_n_students,AM_n_students,AMALM_n_students,AMALF_n_students,AS_n_students,ASALM_n_students,ASALF_n_students,HI_n_students,HIALM_n_students,HIALF_n_students,BL_n_students,BLALM_n_students,BLALF_n_students,WH_n_students,WHALM_n_students,WHALF_n_students,HP_n_students,HPALM_n_students,HPALF_n_students,TR_n_students,TRALM_n_students,TRALF_n_students,FTE,STNAM_x,LEANM_x,ALL_RLA00NUMVALID,ALL_RLA00PCTPROF,F_RLA00NUMVALID,F_RLA00PCTPROF,M_RLA00NUMVALID,M_RLA00PCTPROF,MBL_RLAHSNUMVALID,MBL_RLAHSPCTPROF,MWH_RLAHSNUMVALID,MWH_RLAHSPCTPROF,STNAM_y,LEANM_y,ALL_MTH00NUMVALID,ALL_MTH00PCTPROF,MWH_MTH00PCTPROF,MBL_MTH00PCTPROF,F_MTH00NUMVALID,F_MTH00PCTPROF,M_MTH00NUMVALID,M_MTH00PCTPROF,MBL_MTHHSNUMVALID,MBL_MTHHSPCTPROF,MWH_MTHHSNUMVALID,MWH_MTHHSPCTPROF,TOT_n_susp,TOT_OSS_rate,BLA_OSS_rate,WHI_OSS_rate,AME_OSS_times_white,ASI_OSS_times_white,HI_PAC_OSS_times_white,BLA_OSS_times_white,HIS_OSS_times_white,TWO_OSS_times_white,TOT_n_enrollment
0,45,450231001633,Greenville,29607,0,0,0,0,unknown,Dr. Phinnize J. Fisher Middle,-2,-2,-2,661,1,0,1,26,14,12,37,21,16,207,104,103,370,225,145,1,1,0,19,13,6,38.5,SOUTH CAROLINA,Greenville 01,654,59,281,65,373,54,0,0,0,0,SOUTH CAROLINA,Greenville 01,656,57,73,25,281,60,375,54,0,0,0,0,84,13.48,24.88,4.76,0.0,1.5,0.0,5.23,4.8,8.85,663
1,45,450231001593,Simpsonville,29681,1,0,0,0,elementary,Monarch Elementary,156,-2,-2,894,2,2,0,45,16,29,55,30,25,65,34,31,692,344,348,1,0,1,34,18,16,48.8,SOUTH CAROLINA,Greenville 01,400,75,214,75,186,70,0,0,0,0,SOUTH CAROLINA,Greenville 01,400,80,82,40,214,80,186,75,0,0,0,0,10,1.15,0.0,0.88,0.0,0.0,0.0,0.0,10.82,0.0,895
2,45,450231001524,Simpsonville,29680,0,1,0,0,middle,Ralph Chandler Middle,-2,239,-2,694,0,0,0,3,0,3,48,21,27,69,32,37,540,262,278,0,0,0,34,22,12,38.0,SOUTH CAROLINA,Greenville 01,699,48,361,59,338,37,0,0,0,0,SOUTH CAROLINA,Greenville 01,700,43,47,20,361,46,339,39,0,0,0,0,22,3.31,6.06,2.7,0.0,0.0,0.0,2.24,1.69,2.31,695
3,45,450231001521,Taylors,29687,0,0,1,0,high_school,Greer Middle College Charter,-2,-2,102,443,0,0,0,2,1,1,24,10,14,24,6,18,384,184,200,0,0,0,9,3,6,25.5,SOUTH CAROLINA,Greenville 01,70,90,32,90,38,80,2,0,64,90,SOUTH CAROLINA,Greenville 01,68,85,85,0,36,90,32,80,2,0,61,85,8,1.88,0.0,2.15,0.0,0.0,0.0,0.0,0.0,0.0,440
4,45,450231001517,Simpsonville,29681,1,0,0,0,elementary,Rudolph Gordon Elementary,139,-2,-2,792,4,3,1,24,12,12,53,30,23,70,31,39,616,316,300,1,1,0,24,17,7,44.8,SOUTH CAROLINA,Greenville 01,407,64,183,65,224,60,0,0,0,0,SOUTH CAROLINA,Greenville 01,408,68,67,60,183,65,225,65,0,0,0,0,27,3.45,11.76,1.82,27.47,0.0,0.0,6.46,4.48,3.92,797
5,45,450231001466,Greenville,29607,1,1,0,0,elementary,Sterling School,54,72,-2,835,3,1,2,58,21,37,20,11,9,300,152,148,417,217,200,0,0,0,37,18,19,46.5,SOUTH CAROLINA,Greenville 01,625,79,315,81,310,76,0,0,0,0,SOUTH CAROLINA,Greenville 01,625,81,97,30,315,82,310,80,0,0,0,0,38,4.61,9.3,0.98,0.0,3.52,0.0,9.49,10.74,5.52,835
6,45,450231001393,Greer,29651,0,1,0,0,middle,Blue Ridge Middle,-2,317,-2,912,1,1,0,6,4,2,55,30,25,37,23,14,796,407,389,0,0,0,17,11,6,55.0,SOUTH CAROLINA,Greenville 01,911,49,439,56,472,43,0,0,0,0,SOUTH CAROLINA,Greenville 01,910,44,46,11,439,46,471,42,0,0,0,0,75,8.38,25.71,7.69,0.0,0.0,0.0,3.34,1.0,1.37,916
7,45,450231001365,Greer,29650,1,0,0,0,elementary,Buena Vista Elementary,170,-2,-2,854,3,2,1,76,45,31,62,36,26,74,37,37,599,302,297,0,0,0,40,20,20,45.8,SOUTH CAROLINA,Greenville 01,415,79,208,80,207,70,0,0,0,0,SOUTH CAROLINA,Greenville 01,418,78,80,40,208,75,210,80,0,0,0,0,16,1.91,13.16,0.67,0.0,0.0,0.0,19.64,6.09,0.0,852
8,45,450231001337,Piedmont,29673,0,1,0,0,middle,Woodmont Middle,-2,210,-2,632,0,0,0,1,1,0,47,20,27,209,96,113,337,157,180,1,1,0,37,20,17,38.5,SOUTH CAROLINA,Greenville 01,620,33,332,41,288,20,0,0,0,0,SOUTH CAROLINA,Greenville 01,622,25,32,10,333,26,289,20,0,0,0,0,121,19.48,28.43,13.99,0.0,0.0,0.0,2.03,1.33,1.91,633
9,45,450231001334,Travelers Rest,29690,1,0,0,0,elementary,Gateway Elementary,135,-2,-2,742,4,2,2,5,1,4,40,24,16,96,50,46,569,303,266,0,0,0,28,15,13,39.0,SOUTH CAROLINA,Greenville 01,330,44,159,50,171,35,0,0,0,0,SOUTH CAROLINA,Greenville 01,331,58,65,30,159,60,172,50,0,0,0,0,16,2.19,8.16,1.05,0.0,0.0,0.0,7.77,6.57,0.0,745
10,45,450231001254,Greenville,29611,0,1,0,0,middle,Tanglewood Middle,-2,199,-2,640,4,1,3,1,1,0,230,133,97,275,126,149,108,66,42,0,0,0,22,15,7,43.0,SOUTH CAROLINA,Greenville 01,625,17,293,20,332,12,0,0,0,0,SOUTH CAROLINA,Greenville 01,625,11,15,6,293,10,332,11,0,0,0,0,183,28.82,36.63,29.63,0.31,0.0,3.37,1.24,0.63,1.42,645
11,45,450231001252,Taylors,29687,0,1,0,0,middle,Northwood Middle,-2,271,-2,832,0,0,0,40,22,18,121,63,58,165,97,68,467,226,241,1,1,0,38,20,18,48.1,SOUTH CAROLINA,Greenville 01,807,49,387,57,420,41,0,0,0,0,SOUTH CAROLINA,Greenville 01,816,47,60,10,388,49,428,45,0,0,0,0,112,13.76,29.63,10.31,0.0,0.45,0.0,2.87,0.77,1.57,835
12,45,450231001251,Travelers Rest,29690,0,1,0,0,middle,Northwest Middle,-2,273,-2,796,1,0,1,4,2,2,44,27,17,102,56,46,627,339,288,4,3,1,14,6,8,45.0,SOUTH CAROLINA,Greenville 01,789,31,351,33,438,29,0,0,0,0,SOUTH CAROLINA,Greenville 01,789,29,33,6,352,28,437,30,0,0,0,0,105,13.48,28.71,10.73,0.0,0.0,4.66,2.68,1.51,1.16,794
13,45,450231001249,Greenville,29609,0,1,0,0,middle,League Academy,-2,254,-2,793,3,3,0,18,6,12,98,48,50,145,77,68,474,215,259,6,4,2,49,21,28,47.3,SOUTH CAROLINA,Greenville 01,779,56,420,58,359,52,0,0,0,0,SOUTH CAROLINA,Greenville 01,786,49,64,20,423,52,363,46,0,0,0,0,95,12.53,33.33,5.78,0.0,2.03,4.94,5.77,2.0,2.94,796
14,45,450231001247,Greenville,29605,0,1,0,0,middle,Hughes Academy of Science and Technology,-2,268,-2,879,7,4,3,8,2,6,157,68,89,355,206,149,328,184,144,1,1,0,23,11,12,51.0,SOUTH CAROLINA,Greenville 01,874,40,406,45,468,36,0,0,0,0,SOUTH CAROLINA,Greenville 01,873,37,59,15,406,35,467,38,0,0,0,0,170,20.05,33.05,10.36,0.0,0.0,0.0,3.19,0.9,4.06,876
15,45,450231001245,Simpsonville,29681,0,1,0,0,middle,Hillcrest Middle,-2,356,-2,959,0,0,0,26,11,15,89,46,43,196,87,109,601,341,260,0,0,0,47,29,18,54.1,SOUTH CAROLINA,Greenville 01,974,46,450,51,524,43,0,0,0,0,SOUTH CAROLINA,Greenville 01,975,42,49,15,450,41,525,42,0,0,0,0,126,13.83,26.98,9.7,10.31,0.79,0.0,2.78,0.75,2.34,961
16,45,450231001244,Greer,29651,0,1,0,0,middle,Greer Middle,-2,319,-2,895,3,1,2,6,2,4,200,104,96,162,92,70,482,266,216,0,0,0,42,26,16,53.0,SOUTH CAROLINA,Greenville 01,881,31,390,42,491,23,0,0,0,0,SOUTH CAROLINA,Greenville 01,890,27,35,6,393,31,497,23,0,0,0,0,185,21.02,41.61,15.6,0.0,1.83,0.0,2.67,0.96,1.95,897
17,45,450231001243,Greenville,29607,0,1,0,0,middle,Greenville Middle Academy,-2,269,-2,811,2,2,0,21,13,8,115,49,66,178,73,105,461,231,230,1,1,0,33,14,19,50.0,SOUTH CAROLINA,Greenville 01,819,65,432,70,387,60,0,0,0,0,SOUTH CAROLINA,Greenville 01,823,48,63,20,435,49,388,48,0,0,0,0,29,3.61,5.06,1.78,0.0,5.11,0.0,2.84,2.04,9.11,821
18,45,450231001241,Greenville,29617,0,1,0,0,middle,Berea Middle,-2,206,-2,640,3,3,0,13,8,5,215,116,99,174,78,96,205,96,109,0,0,0,30,17,13,47.0,SOUTH CAROLINA,Greenville 01,619,28,303,36,316,20,0,0,0,0,SOUTH CAROLINA,Greenville 01,630,21,25,6,307,24,323,19,0,0,0,0,119,18.83,28.65,19.7,2.54,0.0,0.0,1.45,0.46,1.47,641
19,45,450231001240,Greenville,29607,0,1,0,0,middle,Beck Academy,-2,370,-2,918,1,0,1,41,20,21,63,27,36,282,140,142,480,240,240,5,1,4,46,21,25,60.5,SOUTH CAROLINA,Greenville 01,929,53,475,60,454,46,0,0,0,0,SOUTH CAROLINA,Greenville 01,937,45,57,15,479,46,458,44,0,0,0,0,111,12.86,26.74,6.39,0.0,0.73,0.0,4.18,1.54,0.8,920
