,FIPST,NCESSCH,LCITY,LZIP,G1OFFERED,G8OFFERED,G12OFFERED,NOGRADES,type_school,SCH_NAME_n_students,G01_n_students,G08_n_students,G12_n_students,TOTAL_n_students,AM_n_students,AMALM_n_students,AMALF_n_students,AS_n_students,ASALM_n_students,ASALF_n_students,HI_n_students,HIALM_n_students,HIALF_n_students,BL_n_students,BLALM_n_students,BLALF_n_students,WH_n_students,WHALM_n_students,WHALF_n_students,HP_n_students,HPALM_n_students,HPALF_n_students,TR_n_students,TRALM_n_students,TRALF_n_students,FTE,STNAM_x,LEANM_x,ALL_RLA00NUMVALID,ALL_RLA00PCTPROF,F_RLA00NUMVALID,F_RLA00PCTPROF,M_RLA00NUMVALID,M_RLA00PCTPROF,MBL_RLAHSNUMVALID,MBL_RLAHSPCTPROF,MWH_RLAHSNUMVALID,MWH_RLAHSPCTPROF,STNAM_y,LEANM_y,ALL_MTH00NUMVALID,ALL_MTH00PCTPROF,MWH_MTH00PCTPROF,MBL_MTH00PCTPROF,F_MTH00NUMVALID,F_MTH00PCTPROF,M_MTH00NUMVALID,M_MTH00PCTPROF,MBL_MTHHSNUMVALID,MBL_MTHHSPCTPROF,MWH_MTHHSNUMVALID,MWH_MTHHSPCTPROF,ALL_COHORT,ALL_RATE,MAM_RATE,MAS_RATE,MBL_RATE,MHI_RATE,MTR_RATE,MWH_RATE,CWD_RATE,ECD_RATE,LEP_RATE,TOT_n_susp,TOT_OSS_rate,BLA_OSS_rate,WHI_OSS_rate,AME_OSS_times_white,ASI_OSS_times_white,HI_PAC_OSS_times_white,BLA_OSS_times_white,HIS_OSS_times_white,TWO_OSS_times_white,TOT_n_enrollment
0,45,450231001521,Taylors,29687,0,0,1,0,high_school,Greer Middle College Charter,-2,-2,102,443,0,0,0,2,1,1,24,10,14,24,6,18,384,184,200,0,0,0,9,3,6,25.5,SOUTH CAROLINA,Greenville 01,70,90,32,90,38,80,2,0,64,90,SOUTH CAROLINA,Greenville 01,68,85,85,0,36,90,32,80,2,0,61,85,98.0,95.0,55.50642857142857,67.51542857142857,50.0,65.98235294117647,58.61837935717519,95.0,50.0,80.0,56.93215480172002,8,1.88,0.0,2.15,0.0,0.0,0.0,0.0,0.0,0.0,440
1,45,450231001036,Simpsonville,29680,0,0,1,0,high_school,Brashier Middle College Charter,-2,-2,102,433,0,0,0,6,2,4,31,11,20,56,17,39,331,161,170,0,0,0,9,2,7,24.0,SOUTH CAROLINA,Greenville 01,78,85,42,80,36,80,10,50,63,90,SOUTH CAROLINA,Greenville 01,74,85,90,50,42,90,32,80,10,50,57,90,101.0,95.0,55.50642857142857,67.51542857142857,50.0,50.0,58.61837935717519,95.0,57.239883048707554,80.0,56.93215480172002,4,0.98,0.0,1.28,0.0,0.0,0.0,0.0,0.0,0.0,437
2,45,450231000576,Greenville,29607,1,1,1,0,unknown,Washington Center,5,11,4,145,0,0,0,3,2,1,22,15,7,47,24,23,71,39,32,1,1,0,1,0,1,28.0,SOUTH CAROLINA,Greenville 01,51,10,20,20,31,10,4,0,6,50,SOUTH CAROLINA,Greenville 01,51,10,20,50,20,20,31,10,4,0,6,50,10.0,50.0,55.50642857142857,67.51542857142857,66.3216676810712,65.98235294117647,58.61837935717519,50.0,50.0,50.0,56.93215480172002,0,0.0,0.0,0.0,0.9805681818181818,0.8364772727272727,0.6360227272727271,3.569204545454546,1.4146590909090913,2.622045454545454,144
3,45,450231000574,Piedmont,29673,0,0,1,0,high_school,Woodmont High,-2,-2,407,1851,1,1,0,10,3,7,118,58,60,455,270,185,1226,652,574,3,1,2,38,22,16,93.6,SOUTH CAROLINA,Greenville 01,357,73,154,80,203,65,93,60,226,75,SOUTH CAROLINA,Greenville 01,363,77,80,60,180,80,183,70,104,60,226,80,449.0,79.0,55.50642857142857,50.0,75.0,80.0,58.61837935717519,80.0,40.0,80.0,50.0,184,10.18,16.15,7.39,0.0,0.0,6.77,2.19,1.52,3.38,1856
4,45,450231000573,Travelers Rest,29690,0,0,1,0,high_school,Travelers Rest High,-2,-2,244,1197,1,0,1,4,3,1,82,50,32,146,83,63,930,491,439,0,0,0,34,16,18,60.0,SOUTH CAROLINA,Greenville 01,256,71,116,75,140,65,46,50,179,75,SOUTH CAROLINA,Greenville 01,176,75,80,70,82,85,94,70,31,70,128,80,261.0,84.0,55.50642857142857,67.51542857142857,80.0,80.0,58.61837935717519,80.0,50.0,90.0,50.0,199,17.11,26.03,16.0,0.0,0.0,0.0,1.63,0.84,1.29,1200
5,45,450231000572,Greenville,29605,0,0,1,0,high_school,Southside High,-2,-2,133,807,4,2,2,57,26,31,111,67,44,468,247,221,139,73,66,2,1,1,26,14,12,53.7,SOUTH CAROLINA,Greenville 01,173,70,65,65,108,70,108,70,29,60,SOUTH CAROLINA,Greenville 01,163,60,60,55,79,65,84,55,110,55,17,60,189.0,75.0,55.50642857142857,80.0,70.0,80.0,58.61837935717519,60.0,21.0,85.0,60.0,231,28.7,39.57,12.8,7.81,0.26,0.0,3.09,1.1,2.5,814
6,45,450231000571,Greer,29650,0,0,1,0,high_school,Riverside High,-2,-2,367,1667,2,2,0,113,55,58,153,83,70,164,86,78,1177,599,578,0,0,0,58,29,29,87.1,SOUTH CAROLINA,Greenville 01,349,90,167,90,182,85,37,60,236,95,SOUTH CAROLINA,Greenville 01,316,92,90,80,157,90,159,90,48,80,199,90,388.0,91.0,55.50642857142857,80.0,90.0,80.0,58.61837935717519,90.0,50.0,75.0,80.0,63,3.92,11.18,2.82,0.0,0.63,0.0,3.96,1.74,2.84,1674
7,45,450231000569,Mauldin,29662,0,0,1,0,high_school,Mauldin High,-2,-2,499,2259,2,0,2,66,31,35,198,92,106,479,239,240,1430,713,717,2,1,1,82,47,35,113.4,SOUTH CAROLINA,Greenville 01,466,82,222,85,244,75,117,65,277,85,SOUTH CAROLINA,Greenville 01,466,90,95,75,238,90,228,90,120,75,268,95,510.0,95.0,55.50642857142857,80.0,90.0,90.0,58.61837935717519,96.0,70.0,90.0,80.0,244,11.13,24.09,6.38,0.0,0.47,0.0,3.78,2.84,1.49,2263
8,45,450231000567,Simpsonville,29681,0,0,1,0,high_school,Hillcrest High,-2,-2,473,2127,5,4,1,24,14,10,200,100,100,472,247,225,1347,693,654,7,5,2,72,27,45,110.0,SOUTH CAROLINA,Greenville 01,478,81,229,75,249,80,123,70,293,80,SOUTH CAROLINA,Greenville 01,484,84,85,75,230,80,254,80,129,75,288,85,507.0,88.0,55.50642857142857,50.0,90.0,90.0,58.61837935717519,86.0,60.0,90.0,80.0,317,15.41,30.48,10.96,1.82,0.79,0.0,2.78,0.83,1.73,2131
9,45,450231000566,Greenville,29609,0,0,1,0,high_school,Wade Hampton High,-2,-2,381,1724,6,5,1,66,30,36,210,112,98,324,168,156,1049,511,538,9,5,4,60,34,26,90.1,SOUTH CAROLINA,Greenville 01,299,84,133,85,166,80,69,70,147,90,SOUTH CAROLINA,Greenville 01,348,90,95,80,167,90,181,85,74,80,180,95,393.0,95.0,55.50642857142857,50.0,85.0,90.0,58.61837935717519,95.0,70.0,95.0,90.0,259,15.68,30.79,10.07,0.0,0.64,3.97,3.06,2.14,1.5,1724
