SURVYEAR,FIPST,STABR,STATENAME,SEANAME,MSTREET1,MSTREET2,MSTREET3,MCITY,MSTATE,MZIP,MZIP4,PHONE,WEBSITE
2015-2016,01,AL,ALABAMA,Alabama Department Of Education,5114 Gordon Persons Building,50 North Ripley St,,Montgomery,AL,36104,,3342429700,
2015-2016,02,AK,ALASKA,Alaska Department of Education and Early Development,P.O. Box 110500,,,Juneau,AK,99811,0500,9074652800,http://education.alaska.gov/
2015-2016,04,AZ,ARIZONA,Arizona Department of Education,1535 W. JEFFERSON STREET,,,PHOENIX,AZ,85007,3280,6025425393,www.azed.gov
2015-2016,05,AR,ARKANSAS,ARKANSAS DEPARTMENT OF EDUCATION,FOUR CAPITOL MALL,ROOM 304A,,LITTLE ROCK,AR,72201,,5016284475,http://ArkansasEd.org
2015-2016,06,CA,CALIFORNIA,California Department of Education,1430 N Street,,,Sacramento,CA,95814,5901,9163190800,http://www.cde.ca.gov/index.asp
2015-2016,08,CO,COLORADO,Colorado Department of Education,201 EAST COLFAX AVENUE,,,DENVER,CO,80203,1799,3038666600,WWW.CDE.STATE.CO.US
2015-2016,09,CT,CONNECTICUT,Connecticut State Department of Education,PO Box 2219,,,Hartford,CT,06145,2219,8607136500,www.state.ct.us/sde
2015-2016,10,DE,DELAWARE,Delaware Department of Education,401 Federal Street,Suite 2,,Dover,DE,19901,3639,3027354000,www.doe.k12.de.us
2015-2016,11,DC,DISTRICT OF COLUMBIA,WASHINGTON DC OFFICE OF THE ST SUPT OF EDUCATION,810 First Street NE,9th floor,,Washington,DC,20002,,2027276436,http://osse.dc.gov/seo/site/default.asp
2015-2016,12,FL,FLORIDA,FLORIDA DEPARTMENT OF EDUCATION,OFFICE OF THE COMMISSIONER,TURLINGTON BUILDING STE 1514,325 WEST GAINES STREET,TALLAHASSEE,FL,32399,6533,8502450505,HTTP://WWW.FLDOE.ORG/
2015-2016,13,GA,GEORGIA,Georgia Department of Education,2066 Twin Towers East,205 Jesse Hill Jr. Drive SE,,Atlanta,GA,30334,5001,4046562800,http://www.doe.k12.ga.us
2015-2016,15,HI,HAWAII,Hawaii Department of Education,PO Box 2360,,,Honolulu,HI,96804,2360,8085863283,doe.k12.hi.us
2015-2016,16,ID,IDAHO,Idaho State Department of Education,PO BOX 83720,,,BOISE,ID,83720,0027,2083326800,http://www.sde.idaho.gov/
2015-2016,17,IL,ILLINOIS,Illinois State Board of Education,100 NORTH FIRST STREET,,,Springfield,IL,62777,0001,8662626663,www.isbe.net
2015-2016,18,IN,INDIANA,Indiana Department of Education,Room 229 State House,,,Indianapolis,IN,46204,,3172326665,www.doe.in.gov
2015-2016,19,IA,IOWA,Iowa Department of Education,400 E. 14th & Grand,Grimes State Office Building,,Des Moines,IA,50319,0146,5152815294,www.educateiowa.gov
2015-2016,20,KS,KANSAS,Kansas State Department of Education,900 SW Jackson,,,Topeka,KS,66612,,7852963201,http://www.ksde.org
2015-2016,21,KY,KENTUCKY,Kentucky Department of Education,Capital Plaza Tower,500 Mero St.,,Frankfort,KY,40601,,5025643141,www.education.ky.gov
2015-2016,22,LA,LOUISIANA,Louisiana Department of Education,P.O. Box 94064,,,Baton Rouge,LA,70804,9064,2253423602,http://www.louisianabelieves.com
2015-2016,23,ME,MAINE,Maine Department of Education,23 State House Station,,,Augusta,ME,04333,0023,2076246600,www.maine.gov/doe/
2015-2016,24,MD,MARYLAND,Maryland State Department of Education,200 West Baltimore Street,,,Baltimore,MD,21201,2595,4107670100,www.marylandpublicschools.org
2015-2016,25,MA,MASSACHUSETTS,Mass. Department of Elementary and Secondary Education,75 Pleasant Street,,,Malden,MA,02148,5023,7813383100,www.doe.mass.edu
2015-2016,26,MI,MICHIGAN,MI Dept of Ed (MDE) & MI Center for Ed Perf and Info (CEPI),608 West Allegan Street,2nd Floor,,Lansing,MI,48909,,5173733324,www.michigan.gov/mde
2015-2016,27,MN,MINNESOTA,Minnesota Department of Education,1500 Highway 36 West,,,Roseville,MN,55113,,6515828200,http://education.state.mn.us/mde/index.html
