District ID,District,State,School_ID,School Name,AME_n_susp,ASI_n_susp,HI PAC_n_susp,BLA_n_susp,HIS_n_susp,WHI_n_susp,TWO_n_susp,TOT_n_susp,AME_OSS_rate,ASI_OSS_rate,HI_PAC_OSS_rate,BLA_OSS_rate,HIS_OSS_rate,WHI_OSS_rate,TWO_OSS_rate,TOT_OSS_rate,AME_OSS_times_white,ASI_OSS_times_white,HI_PAC_OSS_times_white,BLA_OSS_times_white,HIS_OSS_times_white,TWO_OSS_times_white,AME_n_enrollment,ASI_n_enrollment,HI_PAC_n_enrollment,BLA_n_enrollment,HIS_n_enrollment,WHI_n_enrollment,TWO_n_enrollment,TOT_n_enrollment
4502310,Greenville 01,SC,450231000049,Heritage Elementary,0,0,0,2,0,23,0,25,0%,0%,0%,3.28%,0%,4.14%,0%,3.78%,0.00,0.00,0.00,0.79,0.00,0.00,0,4,0,61,16,565,25,671
4502310,Greenville 01,SC,450231000114,Oakview Elementary,0,0,0,6,0,10,0,16,0%,0%,0%,6.74%,0%,1.49%,0%,1.72%,0.00,0.00,0.00,4.52,0.00,0.00,10,79,0,91,37,697,46,960
4502310,Greenville 01,SC,450231000449,Chandler Creek Elementary,0,2,0,12,6,9,0,29,0%,50.00%,0%,5.71%,3.24%,1.76%,0%,2.94%,0.00,28.41,0.00,3.24,1.84,0.00,19,4,0,214,190,526,64,1017
4502310,Greenville 01,SC,450231000455,Mauldin Middle,0,2,0,37,4,39,12,94,0%,5.41%,0%,17.62%,5.00%,6.50%,23.53%,9.55%,0.00,0.83,0.00,2.71,0.77,3.62,4,37,2,214,82,631,55,1025
4502310,Greenville 01,SC,450231000459,Riverside Middle,0,0,0,20,7,37,8,72,0%,0%,0%,17.09%,6.54%,4.82%,17.02%,6.43%,0.00,0.00,0.00,3.55,1.36,3.53,2,76,2,121,109,805,49,1164
4502310,Greenville 01,SC,450231000460,Greenville Technical Charter High,0,0,0,6,0,12,0,18,0%,0%,0%,10.00%,0%,4.65%,0%,4.65%,0.00,0.00,0.00,2.15,0.00,0.00,2,10,0,64,46,277,13,412
4502310,Greenville 01,SC,450231000461,Meyer Center for Special Children,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,n/a,n/a,n/a,n/a,n/a,n/a,0,0,0,16,4,28,4,52
4502310,Greenville 01,SC,450231000488,Alexander Elementary,0,0,0,12,6,8,2,28,0%,0%,0%,11.65%,2.33%,11.94%,12.50%,6.24%,0.00,0.00,0.00,0.98,0.20,1.05,0,2,4,103,259,67,16,451
4502310,Greenville 01,SC,450231000489,Brook Glenn Elementary,0,0,0,11,4,6,6,27,0%,0%,0%,12.50%,3.57%,3.43%,13.95%,6.14%,0.00,0.00,0.00,3.64,1.04,4.07,0,22,0,88,112,175,43,440
4502310,Greenville 01,SC,450231000490,Armstrong Elementary,0,0,0,31,11,18,6,66,0%,0%,0%,31.00%,10.09%,11.76%,17.65%,16.18%,0.00,0.00,0.00,2.64,0.86,1.50,2,10,0,100,109,160,34,415
4502310,Greenville 01,SC,450231000492,Augusta Circle Elementary,0,0,0,10,0,6,6,22,0%,0%,0%,16.95%,0%,1.36%,46.15%,4.26%,0.00,0.00,0.00,12.46,0.00,33.93,0,0,0,61,4,454,13,532
4502310,Greenville 01,SC,450231000494,Berea Elementary,0,0,0,9,4,6,0,19,0%,0%,0%,9.00%,2.11%,4.92%,0%,4.25%,0.00,0.00,0.00,1.83,0.43,0.00,2,7,0,100,190,124,28,451
