STNAM,FIPST,LEAID,LEANM,NCESSCH,SCHNAM,ALL_COHORT_1516,ALL_RATE_1516,MAM_COHORT_1516,MAM_RATE_1516,MAS_COHORT_1516,MAS_RATE_1516,MBL_COHORT_1516,MBL_RATE_1516,MHI_COHORT_1516,MHI_RATE_1516,MTR_COHORT_1516,MTR_RATE_1516,MWH_COHORT_1516,MWH_RATE_1516,CWD_COHORT_1516,CWD_RATE_1516,ECD_COHORT_1516,ECD_RATE_1516,LEP_COHORT_1516,LEP_RATE_1516,DATE_CUR
ALABAMA,1,100005,Albertville City,10000500871,Albertville High Sch,296,92,2,PS,1,PS,9,GE50,91,GE95,.,.,193,90-94,18,60-79,108,80-84,9,GE50,01JUL17
ALABAMA,1,100006,Marshall County,10000600872,Asbury Sch,67,GE95,2,PS,.,.,1,PS,17,GE80,.,.,47,GE90,7,GE50,54,GE90,2,PS,01JUL17
ALABAMA,1,100006,Marshall County,10000600878,Douglas High Sch,153,85-89,.,.,.,.,2,PS,35,GE90,.,.,116,85-89,13,GE50,107,85-89,1,PS,01JUL17
ALABAMA,1,100006,Marshall County,10000600883,Kate D Smith DAR High Sch,120,80-84,.,.,.,.,.,.,2,PS,.,.,118,80-84,16,21-39,57,60-69,.,.,01JUL17
ALABAMA,1,100006,Marshall County,10000601585,Brindlee Mt High Sch,94,85-89,2,PS,1,PS,1,PS,2,PS,1,PS,87,85-89,15,GE50,56,80-89,.,.,01JUL17
ALABAMA,1,100007,Hoover City,10000700251,Hoover High Sch,714,92,.,.,48,GE90,217,85-89,35,80-89,8,GE50,406,94,53,60-69,142,85-89,7,GE50,01JUL17
ALABAMA,1,100007,Hoover City,10000700337,Berry Middle Sch,1,PS,.,.,.,.,1,PS,.,.,.,.,.,.,1,PS,1,PS,.,.,01JUL17
ALABAMA,1,100007,Hoover City,10000701456,Spain Park High Sch,412,94,.,.,17,GE80,96,90-94,19,GE80,8,GE50,272,GE95,28,60-79,80,80-84,1,PS,01JUL17
ALABAMA,1,100008,Madison City,10000800831,Bob Jones High Sch,451,97,2,PS,39,GE90,106,GE95,13,GE50,11,GE50,280,GE95,22,GE80,92,GE95,4,PS,01JUL17
ALABAMA,1,100008,Madison City,10000802198,James Clemens High School,404,96,1,PS,24,GE80,97,GE95,19,GE80,9,GE50,254,GE95,25,60-79,70,85-89,3,PS,01JUL17
ALABAMA,1,100011,Leeds City,10001102096,Leeds High Sch,123,90-94,.,.,1,PS,38,GE90,14,GE50,4,PS,66,GE95,16,60-79,60,80-89,1,PS,01JUL17
ALABAMA,1,100012,Boaz City,10001200874,Boaz High Sch,151,80-84,.,.,2,PS,.,.,20,60-79,5,PS,124,85-89,14,GE50,77,70-74,7,GE50,01JUL17
ALABAMA,1,100013,Trussville City,10001301682,Hewitt-Trussville High Sch,381,96,1,PS,9,GE50,52,GE90,6,GE50,1,PS,312,95,26,60-79,45,GE90,4,PS,01JUL17
ALABAMA,1,100030,Alexander City,10003000001,Alexander City Middle Sch,1,PS,.,.,.,.,.,.,.,.,.,.,1,PS,1,PS,1,PS,.,.,01JUL17
ALABAMA,1,100030,Alexander City,10003000003,Benjamin Russell High Sch,268,90-94,.,.,2,PS,106,85-89,3,PS,1,PS,156,90-94,44,70-79,139,85-89,1,PS,01JUL17
ALABAMA,1,100060,Andalusia City,10006000007,Andalusia High Sch,99,90-94,.,.,2,PS,39,80-89,2,PS,2,PS,54,GE90,10,GE50,46,80-89,.,.,01JUL17
ALABAMA,1,100090,Anniston City,10009000011,Anniston High Sch,154,75-79,.,.,.,.,143,75-79,4,PS,.,.,7,GE50,17,21-39,99,70-74,.,.,01JUL17
ALABAMA,1,100100,Arab City,10010000028,Arab High Sch,199,90-94,1,PS,1,PS,1,PS,4,PS,.,.,192,90-94,20,60-79,66,80-84,.,.,01JUL17
ALABAMA,1,100120,Athens City,10012001472,Athens High Sch,287,90,1,PS,5,PS,83,80-84,24,GE80,1,PS,173,90-94,21,40-59,114,80-84,2,PS,01JUL17
ALABAMA,1,100180,Attalla City,10018000033,Etowah High Sch,207,83,.,.,.,.,32,80-89,17,GE80,8,GE50,150,80-84,29,40-59,140,80-84,2,PS,01JUL17
ALABAMA,1,100185,Saraland City,10018502137,Saraland High Sch,243,92,2,PS,1,PS,36,GE90,2,PS,.,.,202,90-94,23,60-79,111,90-94,1,PS,01JUL17
ALABAMA,1,100188,Chickasaw City,10018802194,Chickasaw City High Sch,53,70-79,.,.,.,.,40,80-89,1,PS,.,.,12,GE50,10,GE50,36,70-79,.,.,01JUL17
ALABAMA,1,100189,Satsuma City,10018902195,Satsuma City High School,103,85-89,1,PS,.,.,12,GE50,.,.,.,.,90,90-94,9,GE50,40,80-89,.,.,01JUL17
ALABAMA,1,100190,Alabaster City,10019001183,Thompson High School,435,97,1,PS,2,PS,93,GE95,56,GE90,.,.,283,GE95,37,80-89,134,GE95,8,GE50,01JUL17
ALABAMA,1,100194,Pelham City,10019402399,Pelham High School,220,95,.,.,6,GE50,35,GE90,50,GE90,.,.,129,GE95,10,LT50,61,90-94,3,PS,01JUL17
ALABAMA,1,100210,Auburn City,10021000036,Auburn High Sch,568,89,1,PS,51,80-89,165,80-84,19,GE80,3,PS,329,93,52,50-59,138,80-84,7,GE50,01JUL17
ALABAMA,1,100210,Auburn City,10021000037,Auburn Jr High Sch,6,LT50,.,.,3,PS,2,PS,.,.,.,.,1,PS,1,PS,2,PS,1,PS,01JUL17
ALABAMA,1,100240,Autauga County,10024000045,Billingsley High Sch,48,80-89,.,.,.,.,8,GE50,.,.,2,PS,38,80-89,3,PS,22,60-79,.,.,01JUL17
ALABAMA,1,100240,Autauga County,10024000046,Marbury Sch,147,80-84,.,.,.,.,22,GE80,3,PS,1,PS,121,85-89,12,LT50,53,70-79,.,.,01JUL17
ALABAMA,1,100240,Autauga County,10024000048,Prattville High Sch,514,87,4,PS,9,GE50,130,80-84,8,GE50,4,PS,359,88,48,40-49,172,70-74,3,PS,01JUL17
ALABAMA,1,100240,Autauga County,10024001408,Autaugaville Sch,33,80-89,.,.,.,.,33,80-89,.,.,.,.,.,.,6,LT50,27,GE80,.,.,01JUL17
ALABAMA,1,100270,Baldwin County,10027000024,Robertsdale High Sch,402,75,5,PS,1,PS,39,70-79,20,60-79,3,PS,334,76,56,30-39,214,65-69,3,PS,01JUL17
ALABAMA,1,100270,Baldwin County,10027000100,Fairhope High Sch,362,91,4,PS,3,PS,34,70-79,8,GE50,2,PS,311,94,33,50-59,85,80-84,.,.,01JUL17
ALABAMA,1,100270,Baldwin County,10027000641,Gulf Shores High Sch,220,84,.,.,6,GE50,4,PS,8,GE50,.,.,202,80-84,22,40-59,72,70-74,3,PS,01JUL17
ALABAMA,1,100270,Baldwin County,10027001713,Foley Intermediate Sch,1,PS,.,.,.,.,.,.,1,PS,.,.,.,.,.,.,.,.,.,.,01JUL17
ALABAMA,1,100270,Baldwin County,10027001759,Daphne High Sch,311,92,1,PS,6,GE50,81,90-94,9,GE50,5,PS,209,90-94,29,60-79,95,85-89,2,PS,01JUL17
ALABAMA,1,100270,Baldwin County,10027001784,Foley High Sch,460,80,3,PS,1,PS,75,85-89,48,60-69,8,GE50,325,80,75,55-59,247,75-79,12,LT50,01JUL17
ALABAMA,1,100270,Baldwin County,10027001810,Baldwin Co High Sch,340,80,5,PS,4,PS,98,80-84,2,PS,3,PS,228,75-79,61,55-59,195,75-79,1,PS,01JUL17
ALABAMA,1,100270,Baldwin County,10027002073,Spanish Fort High Sch,287,87,4,PS,3,PS,33,70-79,10,GE50,2,PS,235,85-89,33,40-49,53,70-79,1,PS,01JUL17
ALABAMA,1,100300,Barbour County,10030000074,Barbour Co High Sch,66,85-89,.,.,.,.,62,85-89,1,PS,.,.,3,PS,12,LT50,43,80-89,.,.,01JUL17
ALABAMA,1,100330,Bessemer City,10033000087,Jess Lanier High Sch,333,79,.,.,.,.,310,80,19,60-79,.,.,4,PS,53,50-59,188,70-74,3,PS,01JUL17
ALABAMA,1,100360,Bibb County,10036000092,Bibb Co High Sch,122,75-79,.,.,.,.,44,70-79,1,PS,.,.,77,75-79,19,40-59,72,70-74,1,PS,01JUL17
ALABAMA,1,100360,Bibb County,10036000099,West Blocton High Sch,128,90-94,.,.,.,.,17,GE80,2,PS,.,.,109,90-94,9,GE50,64,85-89,.,.,01JUL17
ALABAMA,1,100390,Birmingham City,10039000141,Huffman High Sch-Magnet,399,80,3,PS,.,.,375,81,15,LT50,3,PS,3,PS,72,30-34,208,80-84,4,PS,01JUL17
ALABAMA,1,100390,Birmingham City,10039000164,Jackson-Olin High Sch,326,77,1,PS,.,.,323,77,2,PS,.,.,.,.,54,50-59,202,70-74,1,PS,01JUL17
ALABAMA,1,100390,Birmingham City,10039000165,Parker High Sch,276,69,3,PS,.,.,264,65-69,4,PS,3,PS,2,PS,46,30-39,157,60-64,1,PS,01JUL17
ALABAMA,1,100390,Birmingham City,10039000176,Ramsay High Sch,197,GE95,.,.,1,PS,191,GE95,3,PS,1,PS,1,PS,.,.,49,GE90,.,.,01JUL17
ALABAMA,1,100390,Birmingham City,10039000192,Wenonah High Sch,210,77,.,.,.,.,207,75-79,1,PS,.,.,2,PS,33,50-59,115,65-69,.,.,01JUL17
ALABAMA,1,100390,Birmingham City,10039000198,Woodlawn High Sch-Magnet,233,68,1,PS,1,PS,216,65-69,6,GE50,1,PS,8,GE50,51,40-49,151,70-74,1,PS,01JUL17
ALABAMA,1,100390,Birmingham City,10039001296,Adolescent Day Treatment,1,PS,.,.,.,.,.,.,.,.,.,.,1,PS,1,PS,.,.,.,.,01JUL17
ALABAMA,1,100390,Birmingham City,10039001468,George Washington Carver High Sch,254,75,1,PS,1,PS,231,75-79,16,40-59,3,PS,2,PS,40,50-59,159,75-79,9,LT50,01JUL17
ALABAMA,1,100390,Birmingham City,10039001761,Family Court High Sch,14,LT50,.,.,.,.,10,LT50,.,.,1,PS,3,PS,1,PS,7,LT50,.,.,01JUL17
ALABAMA,1,100420,Blount County,10042000203,Appalachian ?Sch,46,80-89,.,.,.,.,.,.,13,GE50,.,.,33,80-89,5,PS,22,GE80,1,PS,01JUL17
ALABAMA,1,100420,Blount County,10042000206,Cleveland High Sch,53,GE90,.,.,.,.,1,PS,7,GE50,1,PS,44,GE90,2,PS,21,GE80,.,.,01JUL17
ALABAMA,1,100420,Blount County,10042000208,Hayden High Sch,172,GE95,.,.,1,PS,1,PS,.,.,3,PS,167,GE95,11,GE50,47,GE90,.,.,01JUL17
